OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31968,2024-106F,2026-02-07T08:02:41.372448,15.27579530,.0000776,43.0023,143.6815,278.3458,81.7306,0,U,59927,999,9593,-.46829E-4,-.155E-4,0
STARLINK-31970,2024-106G,2026-02-07T07:03:41.178240,15.27590022,.0002308,42.9928,144.2172,182.9541,177.1297,0,U,59928,999,9592,-.10757E-3,-.3222E-4,0
STARLINK-31932,2024-106H,2026-02-06T17:30:16.173504,15.27643225,.00009969,42.9998,144.1674,352.6430,7.4407,0,U,59929,999,9582,.91334907E-2,.260644E-2,0
STARLINK-31956,2024-106J,2026-02-07T14:45:11.718144,15.27611401,.0001227,42.9982,142.3305,187.9693,172.1140,0,U,59930,999,9592,-.78752135E-4,-.2431E-4,0
STARLINK-31960,2024-106K,2026-02-07T14:23:00.377952,15.27583744,.0000661,43.0021,142.2243,279.1576,80.9201,0,U,59931,999,9592,.58304E-4,.1343E-4,0
STARLINK-31432,2024-106L,2026-02-07T18:10:11.006976,15.27644070,.00013799,42.9982,141.6848,312.8443,47.2293,0,U,59932,999,9593,.25720281E-2,.71341E-3,0
STARLINK-31853,2024-106M,2026-02-06T09:01:48.295488,15.27565780,.00018995,42.9998,149.3772,259.1482,100.9156,0,U,59933,999,9573,-.334428E-6,-.271E-5,0
STARLINK-31971,2024-106N,2026-02-07T07:43:13.610784,15.27574103,.0000945,42.9992,140.8245,244.6661,115.4092,0,U,59934,999,9579,-.10294E-3,-.3093E-4,0
STARLINK-31962,2024-106Q,2026-02-07T07:31:27.293376,15.27588230,.0001236,42.9997,144.3673,259.2972,100.7740,0,U,59936,999,9587,-.54688E-4,-.1767E-4,0
STARLINK-31879,2024-106R,2026-02-07T14:02:52.048032,15.27587418,.0001059,42.9985,142.9717,256.7096,103.3637,0,U,59937,999,9596,.19027E-3,.4979E-4,0
STARLINK-31876,2024-106S,2026-02-06T15:07:20.415360,15.27568348,.00011289,43.0021,147.8453,335.8684,24.2115,0,U,59938,999,9578,.20502347E-4,.302E-5,0
STARLINK-31955,2024-106T,2026-02-07T08:11:55.868640,15.27582826,.00010502,43.0045,143.7300,262.3108,97.7624,0,U,59939,999,9592,-.2125545E-4,-.847E-5,0
STARLINK-31946,2024-106U,2026-02-06T14:24:59.115744,15.27565835,.000114,42.9999,148.4777,266.7115,93.3607,0,U,59940,999,8639,-.98317E-5,-.532E-5,0
STARLINK-31948,2024-106V,2026-02-07T13:48:43.275168,15.27599886,.0001429,43.0021,139.3320,265.6307,94.4381,0,U,59941,999,9595,.59747E-5,-.98E-6,0
STARLINK-31900,2024-106W,2026-02-07T07:49:32.263104,15.25907245,.0001615,42.9985,143.6061,252.2973,107.7702,0,U,59942,999,9588,.82312E-4,.1896E-4,0
STARLINK-31973,2024-106X,2026-02-07T07:20:18.307680,15.27600595,.0000902,42.9999,144.3177,201.0834,158.9981,0,U,59943,999,9587,.4573E-4,.997E-5,0
STARLINK-31966,2024-106Y,2026-02-06T07:42:27.104256,15.27565693,.0001599,43.0001,149.8219,257.2309,102.8364,0,U,59944,999,9577,-.20265E-4,-.819E-5,0
STARLINK-11145 [DTC],2024-107A,2026-02-07T09:29:15.287712,15.69709216,.00009337,53.1592,40.9162,83.4916,276.6208,0,U,59945,999,9738,.8589675E-5,.452E-5,0
STARLINK-11113 [DTC],2024-107C,2026-02-07T09:36:09.808992,15.69723183,.00013185,53.1599,40.2051,82.7348,277.3820,0,U,59947,999,9739,.9594334E-5,.574E-5,0
STARLINK-11123 [DTC],2024-107D,2026-02-07T06:11:45.425760,15.69710173,.0001848,53.1563,41.4796,83.3481,276.7747,0,U,59948,999,9742,.28108E-4,.2817E-4,0
STARLINK-11138 [DTC],2024-107E,2026-02-07T10:18:32.630976,15.69754259,.00013688,53.1580,40.3993,109.2582,250.8584,0,U,59949,999,9745,.93973084E-4,.10831E-3,0
STARLINK-11130 [DTC],2024-107F,2026-02-07T09:08:03.660288,15.69711927,.00012968,53.1590,40.8158,90.7444,269.3723,0,U,59950,999,9738,.6816208E-5,.237E-5,0
STARLINK-11124 [DTC],2024-107H,2026-02-07T08:53:54.964320,15.69769385,.00015196,53.1594,40.7543,110.0212,250.0970,0,U,59952,999,9745,-.89968349E-4,-.11501E-3,0
STARLINK-11143 [DTC],2024-107J,2026-02-07T12:47:07.151424,16.08624943,.00071946,53.1371,33.4320,75.5985,24.5085,0,U,59953,999,9749,.12190646E-2,.1071725E-1,.67955213E-3
STARLINK-11133 [DTC],2024-107K,2026-02-07T10:04:25.591296,15.69713734,.00021263,53.1590,40.3394,124.4097,235.7122,0,U,59954,999,9739,.3004084E-5,-.226E-5,0
